,trig_ids,datetime,duration,det trigs,catalog_triggers,sigma_r0,sigma_r1,sigma_r2,S_type
0,2010_0,2010-11-01 21:34:05,34.81,n3 n4 n5,GRB101101899,5.54,8.51,0.0,R
1,2010_1,2010-11-02 14:16:36,8.19,n2,UNKNOWN: GRB/GF,3.99,3.38,0.0,P
2,2010_2,2010-11-02 20:10:09,41.47,n6 n7 n8 n9 nb,GRB101102840,5.9,$>10$,0.0,R
3,2010_3,2010-11-03 12:13:28,114.69,n0 n1 n2 n3 n4 n5 n9 na nb,SFLARE10110350,$>10$,$>10$,0.0,R
4,2010_4,2010-11-04 19:26:16,4.43,n2,GRB101104810,0.0,3.22,0.0,P
5,2010_5,2010-11-07 00:16:24,341.51,n0 n1 n3 n4 n5,GRB101107011,8.84,$>10$,0.0,R
6,2010_6,2010-11-11 13:04:23,32.77,n2,UNKNOWN: SF/GF,4.29,5.81,0.0,P
7,2010_7,2010-11-11 18:58:17,16.38,n2 n4 n5,UNKNOWN: SF,$>10$,4.57,0.0,R
8,2010_8,2010-11-12 22:10:31,17.92,n2 n5,GRB101112924,5.36,7.77,0.0,R
9,2010_9,2010-11-12 23:36:52,96.26,n3 n6 n7 n8,GRB101112984,$>10$,$>10$,0.0,R
10,2010_10,2010-11-12 23:46:52,19.73,n1,UNKNOWN: UNC,0.0,9.18,5.31,P
11,2010_11,2010-11-13 11:35:33,202.24,n0 n1 n2 n6 n7 n8 n9 na nb,GRB101113483,$>10$,$>10$,0.0,R
12,2010_12,2010-11-14 17:53:19,229.38,n2 n4 n5 n6 n7 n9 na nb,TRANSNT1011147,$>10$,$>10$,0.0,R
13,2010_13,2010-11-17 11:54:42,108.54,n6 n7 n8 na nb,GRB101117496,$>10$,$>10$,4.04,R
14,2010_14,2010-11-22 13:23:34,8.19,n5 nb,UNKNOWN: UNC(LP),0.0,7.45,5.41,R
15,2010_15,2010-11-23 22:52:10,204.8,n0 n1 n2 n5 n6 n7 n8 n9 na nb,GRB101123952,$>10$,$>10$,$>10$,R
16,2010_16,2010-11-26 04:44:26,112.13,n3 n4 n5 n6 n7 n8 n9 na nb,GRB101126198,$>10$,$>10$,7.12,R
17,2010_18,2010-11-27 02:27:34,45.06,n6 n7 n9 nb,GRB101127102,6.34,$>10$,0.0,R
18,2010_19,2010-12-01 10:01:49,108.03,n0 n1 n2 n4 n5 n7 n8 n9 na nb,GRB101201418,$>10$,$>10$,4.87,R
19,2010_20,2010-12-06 00:52:19,61.7,n0 n1 n2 n9 na,GRB101206036,7.17,$>10$,0.0,R
20,2010_21,2010-12-07 12:51:46,94.21,n0 n1 n2 n3 n4 n5 n6 n7,GRB101207536,$>10$,$>10$,0.0,R
21,2010_22,2010-12-13 20:22:28,12.58,n0 n1 n3 n5,GRB101213849,7.4,7.26,0.0,R
22,2010_23,2010-12-14 23:50:09,4.1,n4,GRB101214993,0.0,3.12,0.0,P
23,2010_24,2010-12-16 17:17:48,43.3,n0 n1 n2 n3 n4 n5,GRB101216721,$>10$,$>10$,0.0,R
24,2010_25,2010-12-19 16:28:12,30.21,n3 n4 n6 n7 n8,GRB101219686,$>10$,$>10$,0.0,R
25,2010_26,2010-12-20 13:50:02,106.5,n0 n1 n2 n3 n4 n5,GRB101220576,$>10$,$>10$,0.0,R
26,2010_27,2010-12-20 20:44:14,45.06,n3 n4 n5 n6 n7 n8,GRB101220864,$>10$,$>10$,0.0,R
27,2010_28,2010-12-23 20:00:17,30.21,n3 n4,GRB101223834,4.65,7.02,0.0,R
28,2010_29,2010-12-24 13:53:00,57.41,n0 n1 n2 n3 n5,GRB101224578,$>10$,$>10$,0.0,R
29,2010_30,2010-12-24 14:43:32,30.21,n2 n5,GRB101224614,7.59,6.51,0.0,R
30,2010_31,2010-12-25 09:04:12,106.5,n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB101225377,$>10$,$>10$,0.0,R
31,2010_32,2010-12-27 09:45:08,168.07,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB101227406,$>10$,$>10$,0.0,R
32,2010_33,2010-12-27 12:51:44,58.88,n6 n7 n8 n9 nb,GRB101227536,0.0,$>10$,0.0,S
33,2010_34,2010-12-28 18:22:27,106.5,na,UNKNOWN: UNC(LP),0.0,8.08,0.0,P
34,2010_35,2010-12-31 01:36:48,108.03,n0 n1 n2 n6 n7 n8 n9 na nb,GRB101231067,$>10$,$>10$,0.0,R
35,2010_36,2011-01-05 21:02:32,134.15,n0 n1 n6 n7 n8 n9 na nb,GRB110105877,$>10$,$>10$,0.0,R
36,2010_37,2011-01-06 21:26:18,25.09,n9 na nb,GRB110106893,0.0,8.16,0.0,S
37,2010_39,2011-01-07 21:15:03,146.43,n0 n1 n2 n5,GRB110107886,$>10$,$>10$,0.0,R
38,2010_40,2011-01-16 11:40:21,20.48,n2 n5,UNKNOWN: GRB,0.0,5.36,0.0,S
39,2010_41,2011-01-17 15:01:25,46.59,n6 n7 n9 na nb,GRB110117626,0.0,$>10$,0.0,S
40,2010_42,2011-01-19 22:20:59,214.53,n0 n1 n2 n3 n4 n5 n6 n7 na,GRB110119931,$>10$,$>10$,0.0,R
41,2010_43,2011-01-20 15:59:35,211.14,n0 n1 n2 n4 n5 n6 n7 n8 n9 na nb,GRB110120666,7.87,$>10$,9.93,R
42,2010_46,2011-01-23 19:17:42,386.57,n0 n1 n2 n3 n4 n5 n6 n7 na,GRB110123804,$>10$,$>10$,$>10$,R
43,2010_49,2011-01-30 05:31:55,12.8,n7 n8 nb,GRB110130230,4.24,6.14,0.0,R
44,2010_50,2011-01-31 15:52:43,8.19,n5 n6 nb,UNKNOWN: UNC(LP),0.0,7.08,4.27,R
45,2010_51,2011-02-01 09:35:09,17.92,n4,GRB110201399,0.0,4.4,0.0,P
46,2010_52,2011-02-04 04:17:10,38.4,n0 n3 n4 n5,GRB110204179,7.9,$>10$,0.0,R
47,2010_53,2011-02-04 22:17:06,16.38,n6 n9,UNKNOWN: UNC(LP),$>10$,7.85,0.0,R
48,2010_54,2011-02-04 23:07:13,102.4,n0 n3 n4 n5 n6 n7 n8,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
49,2010_55,2011-02-05 14:07:16,161.79,n5,GRB110205588,0.0,6.05,0.0,P
50,2010_56,2011-02-06 18:08:11,28.67,n8 nb,UNKNOWN: GRB,5.64,6.83,0.0,R
51,2010_57,2011-02-07 11:17:51,16.38,n3 n4,GRB110207470,0.0,5.23,0.0,S
52,2010_59,2011-02-09 04:08:03,16.86,na,UNKNOWN: GRB/TGF,0.0,6.08,0.0,P
53,2010_60,2011-02-10 06:56:19,225.28,n0 n1 n2 n3 n4 n5 n6 n7 n8 nb,SFLARE11021028,$>10$,$>10$,0.0,R
54,2010_61,2011-02-13 05:17:13,98.82,n1 n2 n3 n4 n5 n6 n7 n8 na nb,GRB110213220,$>10$,$>10$,0.0,R
55,2010_62,2011-02-13 17:33:04,584.52,n0 n1 n2 n3 n4 n5 n6 na,SFLARE11021373,$>10$,$>10$,$>10$,R
56,2010_63,2011-02-13 17:43:34,569.35,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,9.17,0.0,R
57,2010_64,2011-02-14 17:24:26,540.68,n0 n1 n2 n3 n4 n5 n6,SFLARE11021472,$>10$,$>10$,5.33,R
58,2010_65,2011-02-14 19:26:52,237.57,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE11021481,$>10$,$>10$,0.0,R
59,2010_66,2011-02-15 01:48:19,447.5,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE11021507,$>10$,$>10$,$>10$,R
60,2010_68,2011-02-15 03:09:16,61.44,n1 n2 n3 n4 n5 na nb,SFLARE11021513,$>10$,$>10$,0.0,R
61,2010_69,2011-02-15 07:57:42,106.5,n0 n1 n2 n3 n4 n5 n8,SFLARE11021533,$>10$,$>10$,0.0,R
62,2010_70,2011-02-15 12:46:47,32.77,n0 n1 n3,UNKNOWN: GRB,0.0,8.48,0.0,S
63,2010_71,2011-02-15 15:59:02,118.79,n0 n1 n2 n5 n6 n7 n8 n9 nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
64,2010_72,2011-02-16 01:36:25,114.69,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE11021606,$>10$,$>10$,0.0,R
65,2010_73,2011-02-16 07:41:09,155.65,n2 n4 n5,SFLARE11021631,$>10$,5.46,0.0,R
66,2010_74,2011-02-16 14:23:21,164.0,n0 n1 n2 n3 n4 n5 n7 n8 n9 na nb,SFLARE11021660,$>10$,$>10$,2.48,R
67,2010_75,2011-02-16 17:31:41,233.48,n0 n1 n2 n6 n7 n8,UNKNOWN: UNC(LP),0.0,$>10$,0.0,S
68,2010_76,2011-02-17 12:35:08,40.96,n0 n1 n2 n3 n4 n5 n9 na nb,SFLARE11021752,$>10$,8.17,0.0,R
69,2010_77,2011-02-17 14:10:53,12.29,n1 na,GRB110217591,0.0,4.74,0.0,S
70,2010_78,2011-02-18 06:30:43,117.76,n0 n1 n2 n3 n4 n5 n9 na nb,SFLARE11021827,$>10$,$>10$,0.0,R
71,2010_79,2011-02-18 13:01:50,111.48,n0 n1 n2 n3 n4 n5 na,UNKNOWN: SF,$>10$,$>10$,3.63,R
72,2010_80,2011-02-18 14:07:48,8.19,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,3.78,0.0,R
73,2014_0,2014-01-01 03:21:00,147.46,n0 n1 n2 n3 n4 n5 n6 n7 n9 na nb,UNKNOWN: UNC(LP),0.0,$>10$,$>10$,R
74,2014_1,2014-01-01 18:44:35,445.44,n0 n1 n2 n3 n4 n5 n9 na,SFLARE14010178,$>10$,$>10$,$>10$,R
75,2014_2,2014-01-01 23:10:59,20.48,n0 n1 n2 n3 n4 n5 n8,SFLARE14010196,$>10$,6.91,0.0,R
76,2014_3,2014-01-02 02:02:21,22.5,n0 n1 n2 n3 n4 n5,SFLARE14010208,$>10$,7.24,0.0,R
77,2014_4,2014-01-02 02:29:16,302.08,n0 n1 n2 n3 n4 n5 n7 n8 n9 nb,SFLARE14010210,$>10$,$>10$,0.0,R
78,2014_5,2014-01-02 05:44:45,113.66,n0 n1 n2 n3 n4 n5 n6 n7 n8 nb,SFLARE14010224,$>10$,$>10$,0.0,R
79,2014_6,2014-01-02 08:43:28,89.09,n0 n1 n2 n3 n4 n5 n8 nb,SFLARE14010236,$>10$,$>10$,0.0,R
80,2014_7,2014-01-02 21:17:34,108.51,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB140102887,$>10$,$>10$,8.43,R
81,2014_8,2014-01-02 21:43:18,102.4,n0 n1 n2 n3 n4 n5 n7 n8,SFLARE14010290,$>10$,$>10$,0.0,R
82,2014_12,2014-01-03 02:25:57,45.06,n0 n1 n2 n3 n4 n5 n7 n8,SFLARE14010310,$>10$,9.01,0.0,R
83,2014_13,2014-01-03 03:58:56,102.4,n0 n1 n2 n3 n4 n5 n6 n7 n8 nb,SFLARE14010316,$>10$,$>10$,0.0,R
84,2014_14,2014-01-03 12:48:39,45.25,n2 n4 n5 n9 na,SFLARE14010353,$>10$,9.64,7.17,R
85,2014_15,2014-01-03 15:17:03,12.29,n1 n2 n3 n4 n5,SFLARE14010363,$>10$,7.59,0.0,R
86,2014_16,2014-01-03 20:06:11,108.03,n0 n1 n2 n3 n4 n5,SFLARE14010383,$>10$,$>10$,0.0,R
87,2014_17,2014-01-03 21:11:59,113.66,n0 n1 n2 n3 n4 n5 n8 na nb,SFLARE14010388,$>10$,$>10$,0.0,R
88,2014_18,2014-01-04 10:19:09,401.41,n0 n1 n2 n3 n4 n5 n6 n7 n8 nb,SFLARE14010443,$>10$,$>10$,$>10$,R
89,2014_20,2014-01-04 17:32:08,594.45,n2 n3 n5 n6 n7 n8 n9 na nb,GRB140104731,$>10$,$>10$,0.0,R
90,2014_21,2014-01-04 19:05:40,121.86,n0 n1 n2 n3 n4 n5,SFLARE14010479,$>10$,$>10$,0.0,R
91,2014_22,2014-01-04 19:08:02,1522.65,n0 n1 n2 n3 n4 n5 n9 na,SFLARE14010479,$>10$,$>10$,$>10$,R
92,2014_23,2014-01-04 19:33:37,593.93,n0 n1 n3 n5,SFLARE14010479,$>10$,$>10$,$>10$,R
93,2014_24,2014-01-04 19:45:42,393.22,n0 n1 n3 n4 n5,SFLARE14010479,$>10$,$>10$,0.0,R
94,2014_25,2014-01-04 19:57:31,208.9,n4 n5,SFLARE14010479,$>10$,9.54,0.0,R
95,2014_26,2014-01-05 01:18:47,204.8,n0 n1 n2 n3 n5 n6 n7 n8 n9,UNKNOWN: UNC(LP)/GRB,$>10$,$>10$,0.0,R
96,2014_27,2014-01-05 01:33:03,8.3,n9,GRB140105065,0.0,3.49,0.0,P
97,2014_28,2014-01-05 16:04:17,73.73,n0 n1 n2 n3 n4 n5 n6 n7 n8 nb,UNKNOWN: UNC,0.0,$>10$,$>10$,R
98,2014_29,2014-01-06 00:53:53,593.93,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,$>10$,R
99,2014_31,2014-01-06 08:16:45,28.93,n2 n5,GRB140106345,5.2,7.69,0.0,R
100,2014_32,2014-01-06 22:45:12,145.26,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE14010694,$>10$,$>10$,7.23,R
101,2014_34,2014-01-07 18:40:36,581.64,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,$>10$,$>10$,R
102,2014_35,2014-01-07 18:51:31,12.29,n0 n1 n3,UNKNOWN: SF,$>10$,6.96,0.0,R
103,2014_36,2014-01-07 22:18:30,45.06,n0 n1 n2 n3 n4 n5 n8 nb,SFLARE14010792,$>10$,9.58,0.0,R
104,2014_37,2014-01-08 03:06:45,86.02,n0 n1 n2 n3 n4 n5 n7 n8 na nb,SFLARE14010813,$>10$,$>10$,0.0,R
105,2014_38,2014-01-08 12:57:46,55.22,n1 n2 n3 n4 n5 n8,SFLARE14010854,$>10$,$>10$,5.97,R
106,2014_40,2014-01-08 17:18:45,184.58,n0 n1 n2 n3 n4 n5 n7 n8 n9 na nb,GRB140108721,$>10$,$>10$,7.65,R
107,2014_42,2014-01-08 19:27:13,16.38,n4,UNKNOWN: TGF,0.0,4.67,0.0,P
108,2014_51,2014-01-09 22:36:09,20.48,n7 nb,UNKNOWN: UNC(LP),0.0,4.73,3.8,R
109,2014_52,2014-01-10 06:18:34,63.1,n6 n7 n8 n9 na nb,GRB140110263,6.29,$>10$,7.6,R
110,2014_53,2014-01-10 19:31:26,72.71,n8,GRB140110814,7.09,8.55,0.0,P
111,2014_54,2014-01-10 22:26:58,126.98,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),0.0,$>10$,$>10$,R
112,2014_55,2014-01-10 22:42:45,319.49,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
113,2014_56,2014-01-12 12:04:27,8.19,n4,UNKNOWN: GF/GRB,0.0,3.65,0.0,P
114,2014_57,2014-01-12 13:59:58,102.4,n6 n7 n8 n9 na nb,UNKNOWN: GF/TGF/GRB,$>10$,$>10$,0.0,R
115,2014_58,2014-01-13 04:23:54,22.02,n7 n9 nb,GRB140113183,6.92,5.79,0.0,R
116,2014_60,2014-01-13 15:04:12,40.96,n0 n1 n2 n3 n4 n5 n8,GRB140113624,$>10$,$>10$,0.0,R
117,2014_61,2014-01-13 20:37:08,45.06,n3 n4 na,UNKNOWN: UNC(LP),9.52,$>10$,0.0,R
118,2014_62,2014-01-14 20:08:58,143.36,n0 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,$>10$,R
119,2014_63,2014-01-15 20:43:17,71.17,n2 n3 n4 n5 n6 n7 n8,GRB140115863,9.5,$>10$,0.0,R
120,2014_64,2014-01-16 08:34:49,16.38,n0 n1 n3 n4 n8 n9 nb,UNKNOWN: GF,$>10$,$>10$,6.71,R
121,2014_65,2014-01-17 16:06:58,110.59,n0 n1 n2 n3 n4 n5 n8,SFLARE14011767,$>10$,$>10$,0.0,R
122,2014_67,2014-01-18 17:51:57,8.19,n2 nb,UNKNOWN: UNC(LP),0.0,5.52,4.39,R
123,2014_68,2014-01-18 23:59:49,16.38,n2 n5,UNKNOWN: GRB,7.44,7.78,0.0,R
124,2014_70,2014-01-19 08:53:20,12.29,n5 nb,UNKNOWN: UNC(LP),0.0,6.47,4.07,R
125,2014_71,2014-01-19 17:41:35,114.69,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),8.07,$>10$,$>10$,R
126,2014_72,2014-01-19 17:57:01,188.42,n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
127,2014_73,2014-01-21 15:59:44,4.1,nb,UNKNOWN: UNC(LP),0.0,3.06,0.0,P
128,2014_74,2014-01-22 14:19:45,9.73,n8,GRB140122597,0.0,3.35,0.0,P
129,2014_76,2014-01-24 12:38:24,171.01,n0 n1 n2 n3 n4 n5 n6 n9,GRB140124527,$>10$,$>10$,9.56,R
130,2014_77,2014-01-24 15:14:16,176.13,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),0.0,$>10$,$>10$,R
131,2014_78,2014-01-25 18:55:46,8.19,n0 n3 n4,UNKNOWN: GRB/GF,4.91,6.04,0.0,R
132,2014_79,2014-01-26 19:32:48,130.05,n3 n4 n6 n7 n8,GRB140126815,$>10$,$>10$,0.0,R
133,2014_80,2014-01-27 02:04:16,129.02,n0 n1 n2 n3 n4 n5 n7 n8 n9 na nb,SFLARE14012708,$>10$,$>10$,0.0,R
134,2014_81,2014-01-27 05:21:12,32.77,n0 n1 n2 n3 n4 n5 n8 nb,UNKNOWN: SF,$>10$,9.7,0.0,R
135,2014_82,2014-01-28 00:34:02,13.82,n0 n1 n2 n3 n4 n5 n7 n8 nb,SFLARE14012802,$>10$,$>10$,0.0,R
136,2014_83,2014-01-28 01:28:34,4.1,n4 n5,UNKNOWN: SF/GRB,8.96,4.51,0.0,R
137,2014_85,2014-01-28 05:27:05,112.13,n0 n1 n2 n3 n4 n5 n6 n7 n8 nb,SFLARE14012822,$>10$,$>10$,0.0,R
138,2014_86,2014-01-28 11:34:34,287.2,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE14012848,$>10$,$>10$,4.64,R
139,2014_87,2014-01-28 11:45:17,20.48,n0 n1 n2 n3 n4 n5,SFLARE14012848,$>10$,7.08,0.0,R
140,2014_88,2014-01-28 12:43:39,12.29,n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,2.89,2.39,R
141,2014_89,2014-01-28 12:57:05,69.63,n0 n2 n5 n7 n9 nb,SFLARE14012853,0.0,$>10$,9.72,R
142,2014_90,2014-01-28 22:15:33,557.07,n0 n1 n2 n3 n4 n5,SFLARE14012892,$>10$,$>10$,7.83,R
143,2014_91,2014-01-29 03:33:07,36.86,n0 n1 n2 n3 n4 n5 n7 n8 nb,SFLARE14012914,$>10$,$>10$,0.0,R
144,2014_92,2014-01-29 09:40:45,16.86,n0 n1 n2 n3 n4 n5 nb,SFLARE14012940,$>10$,7.25,0.0,R
145,2014_93,2014-01-29 12:46:45,163.84,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),8.72,$>10$,$>10$,R
146,2014_94,2014-01-30 06:16:33,13.82,n0 n1 n2 n3 n4 n5 na,SFLARE14013026,$>10$,7.88,0.0,R
147,2014_95,2014-01-30 06:35:48,499.72,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE14013027,$>10$,$>10$,$>10$,R
148,2014_96,2014-01-30 06:51:07,41.28,n1 n2 n3 n4 n5,SFLARE14013028,$>10$,7.65,0.0,R
149,2014_97,2014-01-30 07:52:24,572.43,n0 n1 n2 n3 n4 n5 n7 n8 n9 na nb,SFLARE14013033,$>10$,$>10$,8.18,R
150,2014_98,2014-01-30 08:02:25,195.61,n0 n1 n2 n3 n4 n5 na,SFLARE14013033,$>10$,$>10$,7.42,R
151,2014_99,2014-02-01 01:24:58,47.1,n0 n1 n2 n3 n4 n5 n8 nb,UNKNOWN: SF,$>10$,7.84,0.0,R
152,2014_101,2014-02-01 07:18:31,237.57,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,$>10$,0.0,R
153,2014_102,2014-02-01 10:45:09,32.77,n0 n1 n2 n3 n4 n5 n9 na nb,SFLARE14020144,$>10$,8.37,0.0,R
154,2014_103,2014-02-01 18:23:09,30.72,n1 n2 n3 n4 n5,SFLARE14020176,$>10$,$>10$,0.0,R
155,2014_104,2014-02-13 01:37:19,368.65,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,$>10$,$>10$,R
156,2014_105,2014-02-13 06:05:07,156.11,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE14021325,$>10$,$>10$,7.81,R
157,2014_106,2014-02-13 15:54:50,187.4,n0 n1 n2 n3 n4 n5,SFLARE14021366,$>10$,$>10$,5.78,R
158,2014_107,2014-02-13 19:21:29,562.7,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB140213807,$>10$,$>10$,$>10$,R
159,2014_109,2014-02-13 19:33:55,1326.1,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE14021382,$>10$,$>10$,$>10$,R
160,2014_116,2014-02-14 02:54:08,139.27,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,$>10$,6.23,R
161,2014_117,2014-02-14 03:04:13,221.36,n0 n1 n2 n3 n4 n5,SFLARE14021412,$>10$,$>10$,0.0,R
