,trig_ids,datetime,duration,det trigs,catalog_triggers,sigma_r0,sigma_r1,sigma_r2,S_type
162,2014_118,2014-02-14 04:27:53,28.67,n0 n1 n2 n3 n4 n5 n9 na nb,SFLARE14021418,$>10$,7.06,0.0,R
163,2014_119,2014-02-14 12:33:52,537.64,n0 n1 n2 n3 n4 n5 n7 n8,SFLARE14021452,$>10$,$>10$,8.86,R
164,2014_120,2014-02-14 16:35:36,335.88,n0 n1 n2 n3 n4 n5,SFLARE14021469,$>10$,$>10$,0.0,R
165,2014_121,2014-02-15 06:23:21,12.29,n6 n9,UNKNOWN: GF/GRB,4.7,4.48,0.0,R
166,2014_124,2014-02-16 00:23:41,888.85,n3 n4 n5 n6 n7 n8 nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
167,2014_125,2014-02-16 02:54:45,299.01,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
168,2014_126,2014-02-16 03:16:11,65.54,n1 n2 n3 n4 n5 n6 n9 na,UNKNOWN: GRB/UNC,0.0,$>10$,9.68,R
169,2014_127,2014-02-16 03:28:45,40.96,n0 n1 n7,UNKNOWN: UNC(LP),5.49,8.09,0.0,R
170,2014_128,2014-02-16 04:29:47,16.38,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
171,2014_129,2014-02-16 04:31:09,548.87,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
172,2014_130,2014-02-16 13:50:59,111.1,n0 n1 n2 n3 n4 n5 n9 na nb,SFLARE14021657,$>10$,$>10$,0.0,R
173,2014_131,2014-02-17 01:01:44,28.8,n0 n1 n3 n6 n9,GRB140217043,$>10$,8.74,0.0,R
174,2014_132,2014-02-17 01:41:56,20.48,n0 n1 n2 n3 n5 n6 n7 n8 n9,UNKNOWN: GF/UNC(LP),$>10$,$>10$,0.0,R
175,2014_133,2014-02-17 03:06:02,151.55,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),0.0,$>10$,$>10$,R
176,2014_136,2014-02-18 10:08:43,449.54,n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB140218427,$>10$,$>10$,$>10$,R
177,2014_138,2014-02-18 12:27:19,4.1,nb,UNKNOWN: GRB,0.0,3.05,0.0,P
178,2014_139,2014-02-18 23:06:28,172.04,n0 n1 n2 n5 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,$>10$,R
179,2014_140,2014-02-19 00:32:33,12.29,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,8.24,0.0,R
180,2014_142,2014-02-19 19:46:34,61.7,n8 nb,GRB140219824,7.55,8.7,0.0,R
181,2014_143,2014-02-19 22:22:20,41.05,n0 n1 n2 n3 n4 n5,SFLARE14021993,$>10$,$>10$,0.0,R
182,2014_144,2014-02-19 22:57:13,118.79,n0 n1 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
183,2014_145,2014-02-19 23:49:23,90.11,n4,UNKNOWN: UNC(LP)/TGF,$>10$,9.12,0.0,P
184,2014_147,2014-02-20 12:25:01,12.29,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
185,2014_148,2014-02-20 22:48:09,126.98,n0 n1 n2 n3 n4 n5 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
186,2014_149,2014-02-21 00:48:43,45.06,n2 n3 n5 n6 n8 n9 nb,UNKNOWN: UNC(LP),0.0,$>10$,9.67,R
187,2014_150,2014-02-21 01:03:36,270.34,n0 n1 n2 n3 n4 n5 n6 n7 n8 na,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
188,2014_151,2014-02-21 22:39:25,4.1,n9,UNKNOWN: UNC(LP),0.0,3.28,0.0,P
189,2014_152,2014-02-22 00:37:51,155.65,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),0.0,$>10$,$>10$,R
190,2014_153,2014-02-23 06:02:32,401.42,n0 n1 n2 n3 n4 n5 n6 n7,UNKNOWN: SF,$>10$,$>10$,$>10$,R
191,2014_154,2014-02-23 11:53:08,41.22,n5 n6 n7 n8 n9 nb,GRB140223495,0.0,$>10$,0.0,S
192,2014_155,2014-02-23 18:14:59,503.82,n0 n1 n3 n4 n5 n8 n9,UNKNOWN: SF,$>10$,$>10$,9.67,R
193,2014_156,2014-02-23 19:49:32,589.83,n0 n1 n2 n3 n4 n5 n7 n8,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
194,2014_157,2014-02-23 20:38:16,77.83,n2 na,UNKNOWN: UNC(LP),7.96,8.92,0.0,R
195,2014_158,2014-02-23 21:28:07,606.22,n0 n1 n3 n4 n5 n8,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
196,2014_159,2014-02-23 21:38:17,32.77,n3 n4 n5 n8,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
197,2014_160,2014-02-23 22:19:39,139.27,n0 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
198,2014_162,2014-02-24 09:10:19,4.54,n2,GRB140224382,0.0,3.55,0.0,P
199,2014_163,2014-02-24 09:37:28,8.19,n0 n1 n2 n3 n4 n5,UNKNOWN: SF,$>10$,5.75,0.0,R
200,2014_164,2014-02-24 11:15:00,135.17,n2 n4 n5,UNKNOWN: SF,$>10$,$>10$,0.0,R
201,2014_165,2014-02-24 18:55:19,38.4,n3 n4 n6 n7 n8,GRB140224788,6.35,$>10$,0.0,R
202,2014_166,2014-02-24 21:35:34,116.74,n0 n1 n2 n3 n4 n5 n8 na,SFLARE14022490,$>10$,$>10$,0.0,R
203,2014_167,2014-02-24 22:10:05,126.98,n0 n1 n2 n4 n5 n8 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
204,2014_168,2014-02-25 00:41:27,1612.29,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFLARE14022502,$>10$,$>10$,$>10$,R
205,2014_169,2014-02-25 01:08:27,495.63,n0 n1 n2 n3 n4 n5 n9,SFLARE14022502,$>10$,$>10$,5.21,R
206,2014_170,2014-02-25 01:16:59,434.18,n0 n1 n3 n5,SFLARE14022502,$>10$,$>10$,$>10$,R
207,2014_171,2014-02-25 01:27:26,294.92,n0 n1 n2 n3 n4 n5,SFLARE14022502,$>10$,$>10$,6.64,R
208,2014_173,2014-02-25 06:18:56,32.77,n1 n2 n3 n4 n5,SFLARE14022526,$>10$,7.66,0.0,R
209,2014_175,2014-02-25 15:06:38,106.82,n0 n1 n2 n3 n4 n5 n8,SFLARE14022563,$>10$,$>10$,0.0,R
210,2014_176,2014-02-25 22:20:16,81.92,n2 n5 n6 n8 n9 na nb,UNKNOWN: UNC(LP),0.0,$>10$,$>10$,R
211,2014_177,2014-02-25 22:33:47,131.07,n4 n5,UNKNOWN: UNC(LP),7.63,9.78,4.88,R
212,2014_180,2014-02-27 05:56:09,78.24,n0 n1 n2 n3 n4 n5,SFLARE14022724,$>10$,$>10$,0.0,R
213,2014_181,2014-02-27 09:04:25,83.46,n0 n1 n2 n3 n4 n5 na,SFLARE14022737,$>10$,$>10$,0.0,R
214,2014_182,2014-02-27 10:44:42,106.59,n0 n1 n2 n3 n4 n5,SFLARE14022744,$>10$,$>10$,0.0,R
215,2014_183,2014-02-27 17:43:06,13.82,n0 n3 n4 n5 na,GRB140227738,$>10$,4.99,0.0,R
216,2014_184,2014-02-27 19:09:13,942.09,n0 n1 n2 n3 n4 n5 n6 n7 n8,UNKNOWN: SF,$>10$,$>10$,$>10$,R
217,2014_185,2014-02-27 19:58:42,204.8,n1 n2 n4 n7 n8 n9 na nb,UNKNOWN: GRB/TGF,$>10$,$>10$,0.0,R
218,2014_186,2014-02-27 20:48:00,131.07,n0 n1 n2 n3 n4 n5 n6,UNKNOWN: SF,$>10$,$>10$,8.03,R
219,2014_187,2014-02-27 20:50:23,593.93,n0 n1 n2 n3 n4 n5 n6 n7 n8,UNKNOWN: SF,$>10$,$>10$,$>10$,R
220,2014_189,2014-02-27 22:25:42,581.64,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9,UNKNOWN: SF,$>10$,$>10$,9.82,R
221,2014_190,2014-02-27 23:15:57,499.72,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,$>10$,R
222,2014_191,2014-02-27 23:25:46,8.19,n0 n1 n2 n3 n4 n5 n8 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,7.14,R
223,2014_192,2014-02-28 00:47:28,108.03,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,SFL140228033,$>10$,$>10$,0.0,R
224,2014_193,2014-02-28 20:25:58,4.1,n0,UNKNOWN: GRB,0.0,3.68,0.0,P
225,2019_0,2019-03-01 09:28:28,8.19,n6,UNKNOWN: UNC(LP),0.0,3.63,0.0,P
226,2019_1,2019-03-03 05:45:19,88.06,n0 n1 n2 n5,GRB190303240,8.96,$>10$,0.0,R
227,2019_2,2019-03-04 19:37:21,9.73,n4,GRB190304818,4.4,6.29,0.0,P
228,2019_3,2019-03-06 06:45:30,77.83,n1 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,7.49,R
229,2019_4,2019-03-06 22:37:42,185.86,n0 n1 n6 n7 n8 n9 na nb,GRB190306943,$>10$,$>10$,0.0,R
230,2019_5,2019-03-07 03:37:19,152.06,n0 n1 n2 n3 n4 n5 n9 na nb,GRB190307151,$>10$,$>10$,0.0,R
231,2019_6,2019-03-10 09:32:35,152.07,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190310398,$>10$,$>10$,0.0,R
232,2019_7,2019-03-11 14:23:37,9.73,n8,GRB190311600,0.0,3.36,0.0,P
233,2019_8,2019-03-12 10:42:13,29.18,n0 n1 n3 n4,GRB190312446,$>10$,$>10$,0.0,R
234,2019_9,2019-03-15 05:09:11,61.44,n6 n9,UNKNOWN: GRB,7.62,8.71,0.0,R
235,2019_10,2019-03-15 12:17:44,106.75,n0 n1 n4 n5 n6 n7 n8 n9 na nb,GRB190315512,$>10$,$>10$,4.57,R
236,2019_11,2019-03-17 01:08:06,12.29,nb,UNKNOWN: GRB,3.97,3.84,0.0,P
237,2019_12,2019-03-20 01:14:21,49.15,n6 n7 n8 n9 na nb,GRB190320052,5.74,$>10$,0.0,R
238,2019_13,2019-03-21 14:42:05,45.42,n2 n4 n5,SFLARE19032161,$>10$,7.83,0.0,R
239,2019_14,2019-03-23 07:16:50,108.03,n0 n1 n6 n7 n8 n9 na nb,GRB190323303,$>10$,$>10$,5.54,R
240,2019_15,2019-03-23 21:05:18,113.15,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190323879,$>10$,$>10$,$>10$,R
241,2019_16,2019-03-24 08:21:13,114.69,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190324348,$>10$,$>10$,8.23,R
242,2019_17,2019-03-24 22:44:17,106.5,n0 n2 n6 n7 n8 n9 na nb,GRB190324947,$>10$,$>10$,6.0,R
243,2019_18,2019-03-25 23:58:59,341.12,n0 n1 n2 n3 n4 n5 n9 na nb,GRB190325999,$>10$,$>10$,6.87,R
244,2019_19,2019-03-26 23:24:43,41.22,n0 n1 n6 n9 na,GRB190326975,3.98,$>10$,0.0,R
245,2019_20,2019-03-27 02:39:13,45.57,n1 n2 n3 n4 n6 n7 n8 n9 na,GRB190327111,0.0,$>10$,6.32,R
246,2019_21,2019-03-27 06:36:04,8.19,n1,UNKNOWN: GRB,0.0,3.4,0.0,P
247,2019_22,2019-03-30 16:39:28,108.16,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190330694,$>10$,$>10$,8.91,R
248,2019_23,2019-04-01 03:20:19,108.03,n3 n4 n5 n6 n7 n8 n9 na nb,GRB190401139,$>10$,$>10$,0.0,R
249,2019_24,2019-04-04 12:24:17,49.15,n0 n1 n2 n3 n5,UNKNOWN: SF/GRB,9.19,$>10$,0.0,R
250,2019_25,2019-04-04 13:08:07,8.19,n9 na,UNKNOWN: GRB,0.0,4.93,0.0,S
251,2019_26,2019-04-04 13:45:40,102.4,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
252,2019_27,2019-04-06 10:47:22,4.61,n3 n4,GRB190406450,5.13,4.58,0.0,R
253,2019_28,2019-04-06 17:52:31,103.94,n0 n2 n3 n4 n5 n6 n7,GRB190406745,$>10$,$>10$,6.23,R
254,2019_29,2019-04-07 13:48:39,12.67,n3 n6 n9,GRB190407575,4.92,7.12,0.0,R
255,2019_30,2019-04-07 16:07:29,20.99,n6 n7 n9 na,GRB190407672,8.0,8.22,0.0,R
256,2019_31,2019-04-08 12:51:22,363.53,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,LOCLPAR1904085,$>10$,$>10$,0.0,R
257,2019_32,2019-04-11 09:45:46,22.02,n0 n1 n2 n6 n8 n9 na,GRB190411407,0.0,$>10$,$>10$,R
258,2019_33,2019-04-11 13:53:56,79.36,n0 n1 n2 n5,GRB190411579,8.76,$>10$,0.0,R
259,2019_34,2019-04-15 04:09:46,112.18,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190415173,$>10$,$>10$,$>10$,R
260,2019_35,2019-04-19 09:55:40,262.53,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190419414,$>10$,$>10$,6.32,R
261,2019_36,2019-04-20 15:08:24,69.63,n4 n8,UNKNOWN: GRB/GF,0.0,9.75,0.0,S
262,2019_37,2019-04-20 22:32:56,16.38,n6 n7 n8 n9 nb,UNKNOWN: GRB,$>10$,8.4,0.0,R
263,2019_38,2019-04-20 23:32:27,8.38,n6,GRB190420981,0.0,3.62,0.0,P
264,2019_39,2019-04-22 16:05:09,20.48,na nb,GRB190422670,0.0,6.94,0.0,S
265,2019_41,2019-04-22 22:56:09,183.3,n6 n7 n8 nb,GRB190422957,8.83,$>10$,0.0,R
266,2019_42,2019-04-28 00:16:26,61.44,n0 n1 n2 n3 n5 n6 n7 n8 n9 nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
267,2019_43,2019-04-28 18:48:11,62.98,n0 n1 n2 n3 n4 n5 na nb,GRB190428783,$>10$,$>10$,0.0,R
268,2019_44,2019-04-29 17:49:54,20.48,n9 na nb,GRB190429743,0.0,6.94,0.0,S
269,2019_45,2019-05-02 04:01:32,24.64,n0 n3 n4 n6 n7,GRB190502168,9.77,9.94,0.0,R
270,2019_46,2019-05-04 09:57:36,20.99,n3,GRB190504415,0.0,4.44,0.0,P
271,2019_47,2019-05-06 05:07:05,176.13,n0 n1 n2 n3 n4 n5,SFLARE19050621,$>10$,$>10$,0.0,R
272,2019_48,2019-05-06 13:53:21,49.15,n0 n1 n2 n3 n4 n5,SFLARE19050657,$>10$,3.0,0.0,R
273,2019_49,2019-05-06 17:47:45,89.09,n1 n2 n3 n4 n5,SFLARE19050674,$>10$,$>10$,0.0,R
274,2019_50,2019-05-07 06:28:19,47.62,n1 n8 n9 na,GRB190507270,5.75,9.53,0.0,R
275,2019_51,2019-05-07 17:15:13,7.42,na,UNKNOWN: TGF,0.0,4.85,0.0,P
276,2019_52,2019-05-07 23:16:29,108.03,n0 n1 n6 n7 n8 n9 na nb,GRB190507970,$>10$,$>10$,0.0,R
277,2019_53,2019-05-08 19:22:49,79.36,n6 n7 n8 nb,GRB190508808,9.3,$>10$,0.0,R
278,2019_54,2019-05-09 05:44:02,299.01,n0 n1 n2 n3 n4 n5 n6 n7 n8 na nb,SFL190509239,$>10$,$>10$,0.0,R
279,2019_55,2019-05-10 10:12:57,393.22,n1 n4 na,GRB190510430,4.03,5.44,0.0,R
280,2019_56,2019-05-11 07:14:26,107.01,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190511302,$>10$,$>10$,0.0,R
281,2019_57,2019-05-12 14:40:04,20.48,n0 n3,GRB190512611,4.72,6.05,0.0,R
282,2019_58,2019-05-14 07:38:41,8.19,na,UNKNOWN: TGF,0.0,3.09,0.0,P
283,2019_59,2019-05-14 10:31:29,196.61,n0 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
284,2019_60,2019-05-14 11:59:58,507.91,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
285,2019_61,2019-05-14 13:45:47,569.35,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
286,2019_62,2019-05-14 21:41:40,12.29,n9,TGF190514901,6.65,5.19,0.0,P
287,2019_63,2019-05-15 16:04:20,16.38,n4,UNKNOWN: GRB,4.9,4.03,0.0,P
288,2019_64,2019-05-17 19:30:08,62.98,n0 n1 n7 n8 n9 na nb,GRB190517813,$>10$,$>10$,0.0,R
289,2019_65,2019-05-19 07:24:53,145.92,n0 n1 n2 n3 n4 n5 n7 n8 n9 na nb,GRB190519309,$>10$,$>10$,0.0,R
290,2019_66,2019-05-20 05:34:01,20.48,n7 n9 na nb,UNKNOWN: GRB,5.61,8.58,0.0,R
291,2019_67,2019-05-20 14:21:05,150.53,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,LOCLPAR1905205,$>10$,$>10$,0.0,R
292,2019_68,2019-05-24 11:15:53,24.58,n3 n7,UNKNOWN: GRB,0.0,6.04,0.0,S
293,2019_69,2019-05-28 23:32:56,16.38,n4,UNKNOWN: GRB/TGF,3.54,3.91,0.0,P
294,2019_70,2019-05-30 10:19:05,116.99,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190530430,$>10$,$>10$,$>10$,R
295,2019_71,2019-05-31 07:29:10,87.55,n0 n1 n2 n3 n4 n5 n9,GRB190531312,$>10$,$>10$,0.0,R
296,2019_72,2019-05-31 20:10:02,126.98,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190531840,$>10$,$>10$,$>10$,R
297,2019_73,2019-06-03 19:04:31,12.29,n0 n3 n4 n5,GRB190603795,7.3,6.8,0.0,R
298,2019_74,2019-06-04 10:42:33,108.8,n0 n1 n2 n3 n4 n5 n6 n7 n8,GRB190604446,$>10$,$>10$,$>10$,R
299,2019_75,2019-06-05 23:22:29,16.58,n4 n7 n8,GRB190605974,0.0,6.33,0.0,S
300,2019_76,2019-06-06 01:55:04,46.98,n0 n1 n2 n3 n4 n5 n9 na,GRB190606080,6.96,$>10$,5.45,R
301,2019_77,2019-06-06 13:21:42,16.38,n7 n8 nb,UNKNOWN: GRB/GF,9.12,6.4,0.0,R
302,2019_78,2019-06-07 01:42:46,45.31,n6 n7 n9 na nb,GRB190607071,8.88,$>10$,0.0,R
303,2019_79,2019-06-08 00:12:20,106.75,n6 n7 n8 n9 na nb,GRB190608009,9.44,$>10$,0.0,R
304,2019_80,2019-06-08 20:22:43,8.19,n0 n1 n2 n3 n4 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
305,2019_81,2019-06-08 20:23:03,626.7,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,UNKNOWN: UNC(LP),$>10$,$>10$,0.0,R
306,2019_82,2019-06-08 20:35:08,400.39,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,LOCLPAR1906088,$>10$,$>10$,0.0,R
307,2019_83,2019-06-09 07:33:36,138.24,n3 n4 n5 n6 n7 n8 n9 na nb,GRB190609315,$>10$,$>10$,$>10$,R
308,2019_84,2019-06-10 18:00:05,102.4,n0 n1 n2 n5 n6 n7 n8 n9 na nb,GRB190610750,$>10$,$>10$,0.0,R
309,2019_85,2019-06-11 22:47:46,178.05,n0 n1 n2 n3 n4 n5 n9,GRB190611950,$>10$,$>10$,$>10$,R
310,2019_86,2019-06-12 03:57:24,22.02,n4 n8,GRB190612165,4.6,5.27,0.0,R
311,2019_87,2019-06-13 04:07:21,45.06,n0 n1 n3 n8,GRB190613172,$>10$,$>10$,0.0,R
312,2019_88,2019-06-13 10:46:58,38.4,n3 n4 n5 n6 n7 n8 n9 nb,GRB190613449,8.28,$>10$,0.0,R
313,2019_89,2019-06-15 15:16:26,79.36,n4 n6 n7 n8 n9 nb,GRB190615636,8.23,$>10$,0.0,R
314,2019_90,2019-06-19 00:24:24,154.63,n0 n1 n3 n6 n9,GRB190619018,$>10$,$>10$,0.0,R
315,2019_91,2019-06-19 14:15:55,146.43,n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190619595,$>10$,$>10$,5.83,R
316,2019_92,2019-06-20 12:10:10,116.23,n0 n1 n2 n3 n4 n5 n6 n7 n8 n9 na nb,GRB190620507,$>10$,$>10$,$>10$,R
317,2019_93,2019-06-26 06:06:24,4.61,n2,GRB190626254,3.18,3.12,0.0,P
318,2019_94,2019-06-28 04:23:34,8.19,n8,UNKNOWN: GRB,0.0,3.4,0.0,P
319,2019_95,2019-06-28 12:30:54,26.11,na nb,GRB190628521,5.32,7.16,0.0,R
320,2019_96,2019-07-02 15:52:26,8.19,n3,UNKNOWN: GRB,0.0,3.15,0.0,P
321,2019_97,2019-07-07 06:50:04,108.03,n0 n2 n3 n4 n5 n6 n7 n8 nb,GRB190707285,$>10$,$>10$,0.0,R
322,2019_98,2019-07-07 07:22:58,30.72,n3 n4,GRB190707308,6.24,7.25,0.0,R
323,2019_99,2019-07-08 08:45:14,16.89,n3 n4 n7 n8,GRB190708365,0.0,6.87,0.0,S
